address,lat,lng,price,bed,bath,sqft,lotSize,property_type,property_style,year_built
"Bayview Lane St. Anns, NS B0E 1B0",0.0,0.0,60000.0,,,0,80586.0,Land,,
"South Cove Road South Cove, NS B0E 1T0",45.978172,-60.96389,112500.0,,,0,217800.0,Land,,
"2361 W Bay Rd Dundee, NS B0E 3K0",0.0,0.0,945000.0,4.0,2.0,0,89829.0,Single Family,,1984.0
"Neil Shore Road Bucklaw, NS B0E 3M0",0.0,0.0,55000.0,,,0,4046724.0,Land,,
"197 Back Rd Thibeauville, NS B0E 1V0",0.0,0.0,99000.0,,,0,8592210.0,Land,,
"Alderwood Lane Baddeck, NS B0E 1H0",0.0,0.0,99500.0,,,0,29416.0,Land,,
"109 Cenotaph Rd Glenora, NS B0E 3L0",45.721565,-61.280194,199900.0,2.0,1.0,0,505296.0,Single Family,Bungalow,
"Lot 13 Lee Lane Malagawash, NS B0E 2Y0",0.0,0.0,39000.0,,,0,108900.0,Land,,
"Lot 2 Old Trunk 4 Highway Soldiers Cove, NS B0E 3B0",0.0,0.0,45000.0,,,0,288367.0,Land,,
"Matway Drive St. Peter's, NS B0E 3B0",45.656822,-60.883053,55000.0,,,0,488957.0,Land,,
"2687 Highway 320 Poulamon, NS B0E 1K0",0.0,0.0,144900.0,3.0,1.0,0,8499.0,Single Family,,
"8805 Highway 105 Baddeck Inlet Hwy Baddeck Inlet, NS B0E 1B0",0.0,0.0,1695000.0,3.0,4.0,0,270072.0,Single Family,Contemporary,2003.0
"3589 Shore Rd MARGAREE CENTRE, NS B0E 2B0",0.0,0.0,975000.0,5.0,4.0,0,326700.0,Single Family,,1972.0
"Lot 12 Sabre Drive Corbetts Cove, NS B0E 3B0",0.0,0.0,119900.0,,,0,161172.0,Land,,
"Lot 9 Sabre Drive|corbetts Cove Corbetts Cove, NS B0E 3B0",0.0,0.0,109900.0,,,0,162479.0,Land,,
"Joseph Mcfarlane Rd Road Whycocomagh Bay, NS B0E 2K0",0.0,0.0,89500.0,,,0,137833.0,Land,,
"81 Aucoin Doucet Rd Cap Le Moine, NS B0E 3A0",0.0,0.0,1100000.0,4.0,4.0,0,2482920.0,Single Family,3 Level,2008.0
"973 Old Margaree Rd Big Baddeck, NS B0E 1B0",46.122604,-60.802536,229000.0,3.0,2.0,0,95832.0,Single Family,,
"6599 Cabot Trl North East Margaree, NS B0E 2K0",0.0,0.0,250000.0,3.0,1.0,0,22050.0,Single Family,Bungalow,1962.0
"58 Swains Ln Valley Mills, NS B0E 2Y0",45.863964,-61.055553,375000.0,2.0,1.0,0,163786.0,Single Family,Bungalow,1994.0
"740 Veterans Memorial Dr Arichat, NS B0E 1A0",45.511066,-61.010311,379000.0,5.0,2.0,0,8499.0,Single Family,,
"105 Highway Unit 10843 #10843 Aberdeen, NS B0E 3M0",45.977741,-61.04879,165000.0,,,0,1667176.0,Land,,
"Beverly's Hill Road Baddeck Inlet, NS B0E 1B0",0.0,0.0,99000.0,,,0,723532.0,Land,,
"Old County Road Baddeck Inlet, NS B0E 1B0",0.0,0.0,39000.0,,,0,196020.0,Land,,
"2 Lots Pondville North Rd Pondville, NS B0E 1K0",0.0,0.0,69000.0,,,0,130680.0,Land,,
"18 Acres Highway 4 Cleveland, NS B0E 1J0",0.0,0.0,39000.0,,,0,782773.0,Land,,
"1494 Big Harbour Island Rd Big Harbour Island, NS B0E 2Y0",45.861423,-60.937618,659000.0,2.0,1.0,0,430721.0,Single Family,Contemporary,2023.0
"103 Riverview Dr River Bourgeois, NS B0E 2X0",45.636826,-60.983601,325000.0,5.0,3.0,0,54886.0,Single Family,,
"2457 W Big Intervale Rd Portree, NS B0E 2C0",46.37862,-60.980949,169900.0,1.0,1.0,0,65340.0,Single Family,,2004.0
"2622 Highway 206 Arichat, NS B0E 1A0",45.507744,-60.951862,209900.0,2.0,2.0,0,21331.0,Single Family,Bungalow,
"511 Walkerville Rd Walkerville, NS B0E 1J0",45.603283,-61.225437,939000.0,3.0,3.0,0,303613.0,Single Family,,2008.0
"10353 Marble Mountain Rd Orangedale, NS B0E 2K0",45.887554,-61.112919,585000.0,4.0,2.0,0,4268850.0,Single Family,,
"195 Walkerville Rd Walkerville, NS B0E 1J0",45.602043,-61.204185,295000.0,3.0,2.0,0,160736.0,Single Family,2 Level,2006.0
"43118 Cabot Trl Skir Dhu, NS B0E 1B0",46.492325,-60.443626,275000.0,,,0,2426292.0,Other,,
"Beaton Street Inverness, Subd. A, NS B0E 1N0",0.0,0.0,90000.0,,,0,5998.0,Land,,
"Lot 1a-39 Maple Drive Cape George Estates, NS B0E 3B0",0.0,0.0,225000.0,,,0,102366.0,Land,,
"Lot 1a-42 Maple Drive Cape George Estates, NS B0E 3B0",0.0,0.0,125000.0,,,0,103237.0,Land,,
"Lot 4 Alexander Drive Baddeck, NS B0E 1B0",0.0,0.0,175000.0,,,0,96268.0,Land,,
"Highway 19 Long Point, NS B0E 1P0",45.886841,-61.422028,229000.0,,,0,1386950.0,Land,,
"1534 Big Harbour Island Rd Big Harbour Island, NS B0E 2Y0",45.859684,-60.935284,549000.0,3.0,1.0,0,411206.0,Single Family,"2 Level,Chalet",1997.0
"103 Acres On East Lake Ainslie Rd East Lake Ainslie, NS B0E 3M0",46.107533,-61.200726,469000.0,,,0,4356000.0,Land,,
"20 Harvey Dr Baddeck, NS B0E 1B0",46.104347,-60.745983,749000.0,3.0,3.0,0,21610.0,Single Family,2 Level,2003.0
"49742 Cabot Trl Goose Cove, NS B0E 1B0",0.0,0.0,359000.0,3.0,2.0,0,193158.0,Single Family,,1983.0
